"idPreguntaPersonalidad","enunciado1","idTipoPersonalidad","suma","orden","enunciado2"
"1","¿Haces listas?","1","1","1","¿Confías en la memoria?"
"2","¿Eres escéptico?","2","0","2","¿Deseas Creer?"
"3","¿Te aburres cuando estas solo?","3","0","3","¿Necesitas estar tiempo a solas?"
"4","¿Aceptas las cosas tal cual son?","4","1","4","¿Eres insatisfecho como son las cosas?"
"5","¿Mantienes la habitación limpia?","1","1","5","¿Pones las cosas donde quiera que sea?"
"6","¿Piensas que ""róbotico"" es un insulto?","2","1","6","¿Prefieres tener una mente mecánica?"
"7","¿Eres Enérgico?","3","0","7","¿Suave?"
"8","¿Prefieres tomar muchas alternativas o elecciones?","4","1","8","¿Prefieres usar una respuesta?"
"9","¿Caótico o desordenado?","1","0","9","¿Organizado?"
"10","¿Sonrojable?","2","1","10","¿Descarado?"
"11","¿Trabaja mejor en grupos?","3","0","11","¿Trabaja mejor solo?"
"12","¿Enfocado en el presente?","4","1","12","¿Enfocado en el futuro?"
"13","¿Planea a largo plazo?","1","1","13","¿Planea al ultimo minuto?"
"14","¿Desea el respeto de la gente?","2","0","14","¿Desea el amor de la gente?"
"15","¿Te desgastan las fiestas?","3","1","15","¿Te encienden las fiestas?"
"16","¿Te acoplas y adaptas?","4","1","16","¿Te impones?"
"17","¿Te muestras abierto a las opciones?","1","0","17","¿Decides y ejecutas?"
"18","¿Eres bueno arreglando cosas?","2","0","18","¿Eres bueno ayudando personas?"
"19","¿Hablas más?","3","0","19","¿Escuchas más?"
"20","¿Dices lo que pasó en un evento?","4","1","20","¿Dices lo que significa que haya ocurrido un event"
"21","¿Haces el trabajo al instante?","1","1","21","¿Esperas para hacer las cosas?"
"22","¿Sigues el corazón?","2","1","22","¿Sigues tu razón?"
"23","¿Permaneces en casa?","3","1","23","¿Te gusta salir al centro?"
"24","¿Deseas toda la pintura?","4","0","24","¿Deseas los detalles?"
"25","¿Improvisas?","1","0","25","¿Preparas?"
"26","¿Basas tu moralidad en justicia?","2","0","26","¿Basas tu moralidad en la compasión?"
"27","¿Se te hace escandaloso gritar así sea suavemente?","3","1","27","¿Gritas naturalmente, para llamar a otros que está"
"28","¿Teórico?","4","0","28","¿Empírico?"
"29","¿Trabajas duro?","1","1","29","¿Juegas duro?"
"30","¿Te incomodan las emociones?","2","0","30","¿Te sientes cómodo con las emociones?"
"31","¿Te sientes cómodo hablando frente a un publico?","3","0","31","¿Evitas hablar en público?"
"32","¿Buscas conocer, cómo, quien, cuando?","4","1","32","¿Buscas conocer, porqué?"
